Aamir,Male,97
Aaron,Male,42
Abbey,Male,61
Abbie,Male,70
Abbot,Male,29
Abbott,Male,60
Abby,Male,50
Abdel,Male,35
Abdul,Male,45
Abdulkarim,Male,63
Abdullah,Male,29
Abe,Male,46
Abel,Male,85
Abelard,Male,46
Abner,Male,51
Abraham,Male,81
Abram,Male,89
Ace,Male,46
Adair,Male,52
Adam,Male,22
Adams,Male,98
Addie,Male,63
Adger,Male,89
Aditya,Male,32
Adlai,Male,35
Adnan,Male,91
Adolf,Male,54
Adolfo,Male,68
Adolph,Male,84
Adolphe,Male,66
Adolpho,Male,52
Adolphus,Male,78
Adrian,Male,66
Adrick,Male,94
Adrien,Male,94
Agamemnon,Male,37
Aguinaldo,Male,49
Aguste,Male,41
Agustin,Male,58
Aharon,Male,36
Ahmad,Male,32
Ahmed,Male,46
Ahmet,Male,97
Ajai,Male,29
Ajay,Male,98
Al,Male,69
Alaa,Male,83
Alain,Male,77
Alan,Male,30
Alasdair,Male,30
Alastair,Male,29
Albatros,Male,41
Albert,Male,36
Alberto,Male,28
Albrecht,Male,80
Alden,Male,66
Aldis,Male,55
Aldo,Male,26
Aldric,Male,99
Aldrich,Male,49
Aldus,Male,90
Aldwin,Male,64
Alec,Male,46
Aleck,Male,38
Alejandro,Male,54
Aleks,Male,40
Aleksandrs,Male,55
Alessandro,Male,52
Alex,Male,32
Alexander,Male,31
Alexei,Male,81
Alexis,Male,99
Alf,Male,46
Alfie,Male,36
Alfonse,Male,40
Alfonso,Male,98
Alfonzo,Male,28
Alford,Male,42
Alfred,Male,85
Alfredo,Male,81
Algernon,Male,35
Ali,Male,78
Alic,Male,81
Alister,Male,57
Alix,Male,99
Allah,Male,63
Allan,Male,48
Allen,Male,55
Alley,Male,92
Allie,Male,90
Allin,Male,87
Allyn,Male,48
Alonso,Male,64
Alonzo,Male,64
Aloysius,Male,83
Alphonse,Male,55
Alphonso,Male,27
Alston,Male,33
Alton,Male,84
Alvin,Male,96
Alwin,Male,28
Amadeus,Male,59
Ambros,Male,59
Ambrose,Male,65
Ambrosi,Male,71
Ambrosio,Male,74
Ambrosius,Male,48
Amery,Male,80
Amory,Male,56
Amos,Male,57
Anatol,Male,61
Anatole,Male,68
Anatollo,Male,47
Anatoly,Male,71
Anders,Male,52
Andie,Male,27
Andonis,Male,70
Andre,Male,37
Andrea,Male,76
Andreas,Male,30
Andrej,Male,76
Andres,Male,62
Andrew,Male,37
Andrey,Male,79
Andri,Male,36
Andros,Male,78
Andrus,Male,55
Andrzej,Male,36
Andy,Male,40
Angel,Male,90
Angelico,Male,98
Angelo,Male,77
Angie,Male,74
Angus,Male,89
Ansel,Male,67
Ansell,Male,54
Anselm,Male,31
Anson,Male,67
Anthony,Male,98
Antin,Male,37
Antoine,Male,70
Anton,Male,42
Antone,Male,92
Antoni,Male,60
Antonin,Male,87
Antonino,Male,71
Antonio,Male,62
Antonius,Male,70
Antony,Male,24
Anurag,Male,22
Apollo,Male,59
Apostolos,Male,95
Aram,Male,59
Archibald,Male,68
Archibold,Male,87
Archie,Male,40
Archon,Male,50
Archy,Male,54
Arel,Male,77
Ari,Male,82
Arie,Male,75
Ariel,Male,27
Aristotle,Male,22
Arlo,Male,71
Armand,Male,71
Armando,Male,47
Armond,Male,99
Armstrong,Male,34
Arne,Male,65
Arnie,Male,70
Arnold,Male,62
Arnoldo,Male,83
Aron,Male,78
Arron,Male,25
Art,Male,38
Arther,Male,96
Arthur,Male,54
Artie,Male,84
Artur,Male,39
Arturo,Male,77
Arvie,Male,92
Arvin,Male,82
Arvind,Male,86
Arvy,Male,33
Ash,Male,72
Ashby,Male,71
Ashish,Male,35
Ashley,Male,22
Ashton,Male,88
Aub,Male,27
Aube,Male,97
Aubert,Male,37
Aubrey,Male,34
Augie,Male,34
August,Male,29
Augustin,Male,81
Augustine,Male,88
Augusto,Male,93
Augustus,Male,64
Austen,Male,38
Austin,Male,22
Ave,Male,75
Averell,Male,71
Averil,Male,42
Averill,Male,94
Avery,Male,35
Avi,Male,77
Avraham,Male,54
Avram,Male,95
Avrom,Male,66
Axel,Male,64
Aylmer,Male,95
Aziz,Male,98
Bailey,Male,35
Bailie,Male,80
Baillie,Male,68
Baily,Male,68
Baird,Male,46
Baldwin,Male,83
Bancroft,Male,68
Barbabas,Male,28
Barclay,Male,68
Bard,Male,45
Barde,Male,63
Barn,Male,91
Barnabas,Male,84
Barnabe,Male,43
Barnaby,Male,99
Barnard,Male,26
Barnebas,Male,65
Barnett,Male,24
Barney,Male,86
Barnie,Male,41
Barny,Male,40
Baron,Male,90
Barr,Male,77
Barret,Male,88
Barrett,Male,40
Barri,Male,42
Barrie,Male,69
Barris,Male,94
Barron,Male,99
Barry,Male,29
Bart,Male,63
Bartel,Male,39
Barth,Male,68
Barthel,Male,25
Bartholemy,Male,21
Bartholomeo,Male,44
Bartholomeus,Male,67
Bartholomew,Male,35
Bartie,Male,77
Bartlet,Male,31
Bartlett,Male,74
Bartolemo,Male,94
Bartolomei,Male,70
Bartolomeo,Male,86
Barton,Male,46
Barty,Male,64
Bary,Male,92
Basil,Male,44
Batholomew,Male,24
Baxter,Male,67
Bay,Male,39
Bayard,Male,36
Beale,Male,86
Bealle,Male,26
Bear,Male,98
Bearnard,Male,39
Beau,Male,67
Beaufort,Male,33
Beauregard,Male,34
Beck,Male,28
Bela,Male,85
Ben,Male,58
Benedict,Male,67
Bengt,Male,77
Benito,Male,74
Benjamen,Male,49
Benjamin,Male,56
Benji,Male,43
Benjie,Male,29
Benjy,Male,89
Benn,Male,73
Bennet,Male,70
Bennett,Male,84
Bennie,Male,41
Benny,Male,83
Benson,Male,91
Bentley,Male,67
Benton,Male,82
Beowulf,Male,50
Berchtold,Male,28
Berk,Male,32
Berke,Male,68
Berkeley,Male,94
Berkie,Male,28
Berkley,Male,62
Bernard,Male,93
Bernardo,Male,70
Bernd,Male,79
Bernhard,Male,46
Bernie,Male,75
Bert,Male,96
Bertie,Male,85
Bertram,Male,90
Bertrand,Male,27
Bharat,Male,83
Biff,Male,58
Bill,Male,52
Billie,Male,53
Billy,Male,35
Bing,Male,36
Binky,Male,49
Bishop,Male,39
Bjorn,Male,50
Bjorne,Male,86
Blaine,Male,55
Blair,Male,66
Blake,Male,80
Blare,Male,81
Blayne,Male,52
Bo,Male,67
Bob,Male,21
Bobbie,Male,37
Bobby,Male,45
Bogart,Male,57
